Date,Date Label,County,Cases,Deaths
3/24/2020,3/25/2020,Not Reported,2,0
3/24/2020,3/25/2020,Oakland,428,4
3/24/2020,3/25/2020,Otsego,5,0
3/24/2020,3/25/2020,Ottawa,15,0
3/24/2020,3/25/2020,Out of State,6,0
3/24/2020,3/25/2020,Roscommon,1,0
3/24/2020,3/25/2020,Saginaw,8,0
3/24/2020,3/25/2020,St. Clair,8,0
3/24/2020,3/25/2020,Tuscola,1,0
3/24/2020,3/25/2020,Washtenaw,50,3
3/24/2020,3/25/2020,Wayne,310,5
3/24/2020,3/25/2020,Wexford,1,0
3/25/2020,3/26/2020,Allegan,1,0
3/25/2020,3/26/2020,Barry,1,0
3/25/2020,3/26/2020,Bay,3,0
3/25/2020,3/26/2020,Berrien,10,0
3/25/2020,3/26/2020,Calhoun,6,0
3/25/2020,3/26/2020,Charlevoix,4,0
3/25/2020,3/26/2020,Chippewa,1,0
3/25/2020,3/26/2020,Clare,1,0
3/25/2020,3/26/2020,Clinton,6,0
3/25/2020,3/26/2020,Detroit City,705,12
3/25/2020,3/26/2020,Eaton,3,0
3/25/2020,3/26/2020,Emmet,2,0
3/25/2020,3/26/2020,Genesee,46,0
3/25/2020,3/26/2020,Gladwin,2,0
3/25/2020,3/26/2020,Grand Traverse,3,0
3/25/2020,3/26/2020,Hillsdale,2,0
3/25/2020,3/26/2020,Ingham,18,0
3/25/2020,3/26/2020,Iosco,1,0
3/25/2020,3/26/2020,Isabella,2,0
3/25/2020,3/26/2020,Jackson,12,0
3/25/2020,3/26/2020,Kalamazoo,5,0
3/25/2020,3/26/2020,Kalkaska,2,0
3/25/2020,3/26/2020,Kent,36,1
3/25/2020,3/26/2020,Lapeer,1,0
3/25/2020,3/26/2020,Leelanau,1,0
3/25/2020,3/26/2020,Lenawee,1,0
3/25/2020,3/26/2020,Livingston,16,1
3/25/2020,3/26/2020,Luce,1,0
3/25/2020,3/26/2020,Macomb,281,7
3/25/2020,3/26/2020,Manistee,1,0
3/25/2020,3/26/2020,Marquette,1,0
3/25/2020,3/26/2020,Midland,6,0
3/25/2020,3/26/2020,Monroe,18,0
3/25/2020,3/26/2020,Montcalm,2,0
3/25/2020,3/26/2020,Muskegon,3,0
3/25/2020,3/26/2020,Newaygo,1,0
3/25/2020,3/26/2020,Not Reported,2,0
3/25/2020,3/26/2020,Oakland,543,10
3/25/2020,3/26/2020,Otsego,6,0
3/25/2020,3/26/2020,Ottawa,16,0
3/25/2020,3/26/2020,Out of State,7,0
3/25/2020,3/26/2020,Roscommon,1,0
3/25/2020,3/26/2020,Saginaw,9,0
3/25/2020,3/26/2020,Sanilac,1,0
3/25/2020,3/26/2020,St. Clair,10,0
3/25/2020,3/26/2020,Tuscola,2,0
3/25/2020,3/26/2020,Van Buren,2,0
3/25/2020,3/26/2020,Washtenaw,72,3
3/25/2020,3/26/2020,Wayne,417,9
3/25/2020,3/26/2020,Wexford,1,0
3/26/2020,3/27/2020,Allegan,1,0
3/26/2020,3/27/2020,Barry,1,0
3/26/2020,3/27/2020,Bay,4,0
3/26/2020,3/27/2020,Berrien,11,0
3/26/2020,3/27/2020,Calhoun,7,0
3/26/2020,3/27/2020,Cass,1,0
3/26/2020,3/27/2020,Charlevoix,4,0
3/26/2020,3/27/2020,Clare,1,0
3/26/2020,3/27/2020,Clinton,7,0
3/26/2020,3/27/2020,Detroit City,851,15
3/26/2020,3/27/2020,Eaton,4,0
3/26/2020,3/27/2020,Emmet,2,0
3/26/2020,3/27/2020,Genesee,63,1
3/26/2020,3/27/2020,Gladwin,2,0
3/26/2020,3/27/2020,Grand Traverse,3,0
3/26/2020,3/27/2020,Hillsdale,5,0
3/26/2020,3/27/2020,Ingham,22,0
3/26/2020,3/27/2020,Ionia,2,0
3/26/2020,3/27/2020,Iosco,1,0
3/26/2020,3/27/2020,Isabella,3,0
3/26/2020,3/27/2020,Jackson,17,0
3/26/2020,3/27/2020,Kalamazoo,10,0
3/26/2020,3/27/2020,Kalkaska,2,0
3/26/2020,3/27/2020,Kent,41,1
3/26/2020,3/27/2020,Lapeer,3,0
3/26/2020,3/27/2020,Leelanau,1,0
3/26/2020,3/27/2020,Lenawee,5,0
3/26/2020,3/27/2020,Livingston,21,1
3/26/2020,3/27/2020,Macomb,347,11
3/26/2020,3/27/2020,Manistee,1,0
3/26/2020,3/27/2020,Marquette,1,0
3/26/2020,3/27/2020,Mecosta,1,1
3/26/2020,3/27/2020,Midland,6,0
3/26/2020,3/27/2020,Missaukee,1,0
3/26/2020,3/27/2020,Monroe,21,0
3/26/2020,3/27/2020,Montcalm,3,0
3/26/2020,3/27/2020,Muskegon,3,0
3/26/2020,3/27/2020,Newaygo,1,0
3/26/2020,3/27/2020,Oakland,668,15
3/26/2020,3/27/2020,Oceana,1,0
3/26/2020,3/27/2020,Ogemaw,1,0
3/26/2020,3/27/2020,Other,13,0
3/26/2020,3/27/2020,Otsego,7,0
3/26/2020,3/27/2020,Ottawa,18,0
3/26/2020,3/27/2020,Out of State,7,0
3/26/2020,3/27/2020,Roscommon,1,0
3/26/2020,3/27/2020,Saginaw,10,0
3/26/2020,3/27/2020,Sanilac,1,0
3/26/2020,3/27/2020,Shiawassee,1,0
3/26/2020,3/27/2020,St. Clair,13,0
3/26/2020,3/27/2020,Tuscola,2,1
3/26/2020,3/27/2020,Van Buren,2,0
3/26/2020,3/27/2020,Washtenaw,92,3
3/26/2020,3/27/2020,Wayne,538,11
3/26/2020,3/27/2020,Wexford,1,0
3/27/2020,3/28/2020,Allegan,1,0
3/27/2020,3/28/2020,Barry,1,0
3/27/2020,3/28/2020,Bay,4,0
3/27/2020,3/28/2020,Berrien,18,0
3/27/2020,3/28/2020,Calhoun,9,0
3/27/2020,3/28/2020,Cass,1,0
3/27/2020,3/28/2020,Charlevoix,4,0
3/27/2020,3/28/2020,Clare,1,0
3/27/2020,3/28/2020,Clinton,8,0
3/27/2020,3/28/2020,Crawford,1,0
3/27/2020,3/28/2020,Detroit City,1075,23
3/27/2020,3/28/2020,Dickinson,1,0
3/27/2020,3/28/2020,Eaton,8,0
3/27/2020,3/28/2020,Emmet,3,0
3/27/2020,3/28/2020,Genesee,91,4
3/27/2020,3/28/2020,Gladwin,2,0
3/27/2020,3/28/2020,Gogebic,1,1
3/27/2020,3/28/2020,Grand Traverse,3,0
3/27/2020,3/28/2020,Gratiot,1,0
3/27/2020,3/28/2020,Hillsdale,6,0
3/27/2020,3/28/2020,Huron,1,0
3/27/2020,3/28/2020,Ingham,26,1
3/27/2020,3/28/2020,Ionia,2,0
3/27/2020,3/28/2020,Iosco,1,0
3/27/2020,3/28/2020,Isabella,4,0
3/27/2020,3/28/2020,Jackson,16,0
3/27/2020,3/28/2020,Kalamazoo,11,0
3/27/2020,3/28/2020,Kalkaska,4,0
3/27/2020,3/28/2020,Kent,45,1
3/27/2020,3/28/2020,Lapeer,4,0
3/27/2020,3/28/2020,Leelanau,1,0
3/27/2020,3/28/2020,Lenawee,8,0
3/27/2020,3/28/2020,Livingston,31,1
3/27/2020,3/28/2020,Macomb,404,14
3/27/2020,3/28/2020,Manistee,1,0
3/27/2020,3/28/2020,Marquette,1,0
3/27/2020,3/28/2020,Mecosta,1,1
3/27/2020,3/28/2020,Midland,8,0
3/27/2020,3/28/2020,Missaukee,1,0
3/27/2020,3/28/2020,Monroe,28,0
3/27/2020,3/28/2020,Montcalm,3,0
3/27/2020,3/28/2020,Muskegon,6,2
3/27/2020,3/28/2020,Newaygo,1,0
3/27/2020,3/28/2020,Oakland,824,26
3/27/2020,3/28/2020,Oceana,1,0
3/27/2020,3/28/2020,Ogemaw,1,0
3/27/2020,3/28/2020,Other,23,0
3/27/2020,3/28/2020,Otsego,7,0
3/27/2020,3/28/2020,Ottawa,21,0
3/27/2020,3/28/2020,Out of State,8,0
3/27/2020,3/28/2020,Roscommon,1,0
3/27/2020,3/28/2020,Saginaw,14,0
3/27/2020,3/28/2020,Sanilac,2,0
3/27/2020,3/28/2020,Shiawassee,2,0
3/27/2020,3/28/2020,St. Clair,15,0
3/27/2020,3/28/2020,Tuscola,2,1
3/27/2020,3/28/2020,Van Buren,3,0
3/27/2020,3/28/2020,Washtenaw,150,3
3/27/2020,3/28/2020,Wayne,735,14
3/27/2020,3/28/2020,Wexford,1,0
3/28/2020,3/29/2020,Allegan,2,0
3/28/2020,3/29/2020,Barry,1,0
3/28/2020,3/29/2020,Bay,4,0
3/28/2020,3/29/2020,Berrien,22,0
3/28/2020,3/29/2020,Calhoun,11,0
3/28/2020,3/29/2020,Cass,2,0
3/28/2020,3/29/2020,Charlevoix,4,0
3/28/2020,3/29/2020,Clare,1,0
3/28/2020,3/29/2020,Clinton,13,0
